Package|Class|Method|Cyclomatic Complexity
org.apache.commons.collections4|ArrayStack|empty|1
org.apache.commons.collections4|ArrayStack|peek|3
org.apache.commons.collections4|ArrayStack|peek|3
org.apache.commons.collections4|ArrayStack|pop|3
org.apache.commons.collections4|ArrayStack|push|1
org.apache.commons.collections4|ArrayStack|search|4
org.apache.commons.collections4.bag|AbstractBagDecorator|add|1
org.apache.commons.collections4.bag|AbstractBagDecorator|decorated|1
org.apache.commons.collections4.bag|AbstractBagDecorator|equals|1
org.apache.commons.collections4.bag|AbstractBagDecorator|getCount|1
org.apache.commons.collections4.bag|AbstractBagDecorator|hashCode|1
org.apache.commons.collections4.bag|AbstractBagDecorator|remove|1
org.apache.commons.collections4.bag|AbstractBagDecorator|uniqueSet|1
org.apache.commons.collections4.bag|AbstractMapBag|add|1
org.apache.commons.collections4.bag|AbstractMapBag|add|4
org.apache.commons.collections4.bag|AbstractMapBag|addAll|1
org.apache.commons.collections4.bag|AbstractMapBag|clear|1
org.apache.commons.collections4.bag|AbstractMapBag|contains|1
org.apache.commons.collections4.bag|AbstractMapBag|containsAll|3
org.apache.commons.collections4.bag|AbstractMapBag|containsAll|3
org.apache.commons.collections4.bag|AbstractMapBag|doReadObject|3
org.apache.commons.collections4.bag|AbstractMapBag|doWriteObject|1
org.apache.commons.collections4.bag|AbstractMapBag|equals|6
org.apache.commons.collections4.bag|AbstractMapBag|getCount|3
org.apache.commons.collections4.bag|AbstractMapBag|getMap|1
org.apache.commons.collections4.bag|AbstractMapBag|hashCode|1
org.apache.commons.collections4.bag|AbstractMapBag|isEmpty|1
org.apache.commons.collections4.bag|AbstractMapBag|iterator|1
org.apache.commons.collections4.bag|AbstractMapBag|remove|3
org.apache.commons.collections4.bag|AbstractMapBag|remove|5
org.apache.commons.collections4.bag|AbstractMapBag|removeAll|3
org.apache.commons.collections4.bag|AbstractMapBag|retainAll|4
org.apache.commons.collections4.bag|AbstractMapBag|retainAll|3
org.apache.commons.collections4.bag|AbstractMapBag|size|1
org.apache.commons.collections4.bag|AbstractMapBag|toArray|3
org.apache.commons.collections4.bag|AbstractMapBag|toArray|5
org.apache.commons.collections4.bag|AbstractMapBag|toString|5
org.apache.commons.collections4.bag|AbstractMapBag|uniqueSet|3
org.apache.commons.collections4.bag|AbstractSortedBagDecorator|comparator|1
org.apache.commons.collections4.bag|AbstractSortedBagDecorator|decorated|1
org.apache.commons.collections4.bag|AbstractSortedBagDecorator|first|1
org.apache.commons.collections4.bag|AbstractSortedBagDecorator|last|1
org.apache.commons.collections4.bag|CollectionBag|collectionBag|1
org.apache.commons.collections4.bag|CollectionBag|add|1
org.apache.commons.collections4.bag|CollectionBag|add|1
org.apache.commons.collections4.bag|CollectionBag|addAll|1
org.apache.commons.collections4.bag|CollectionBag|containsAll|1
org.apache.commons.collections4.bag|CollectionBag|readObject|1
org.apache.commons.collections4.bag|CollectionBag|remove|1
org.apache.commons.collections4.bag|CollectionBag|removeAll|3
org.apache.commons.collections4.bag|CollectionBag|retainAll|5
org.apache.commons.collections4.bag|CollectionBag|writeObject|1
org.apache.commons.collections4.bag|CollectionSortedBag|collectionSortedBag|1
org.apache.commons.collections4.bag|CollectionSortedBag|add|1
org.apache.commons.collections4.bag|CollectionSortedBag|add|1
org.apache.commons.collections4.bag|CollectionSortedBag|addAll|1
org.apache.commons.collections4.bag|CollectionSortedBag|containsAll|1
org.apache.commons.collections4.bag|CollectionSortedBag|readObject|1
org.apache.commons.collections4.bag|CollectionSortedBag|remove|1
org.apache.commons.collections4.bag|CollectionSortedBag|removeAll|3
org.apache.commons.collections4.bag|CollectionSortedBag|retainAll|5
org.apache.commons.collections4.bag|CollectionSortedBag|writeObject|1
org.apache.commons.collections4.bag|HashBag|readObject|1
org.apache.commons.collections4.bag|HashBag|writeObject|1
org.apache.commons.collections4.bag|PredicatedBag|predicatedBag|1
org.apache.commons.collections4.bag|PredicatedBag|add|1
org.apache.commons.collections4.bag|PredicatedBag|decorated|1
org.apache.commons.collections4.bag|PredicatedBag|equals|1
org.apache.commons.collections4.bag|PredicatedBag|getCount|1
org.apache.commons.collections4.bag|PredicatedBag|hashCode|1
org.apache.commons.collections4.bag|PredicatedBag|remove|1
org.apache.commons.collections4.bag|PredicatedBag|uniqueSet|1
org.apache.commons.collections4.bag|PredicatedSortedBag|predicatedSortedBag|1
org.apache.commons.collections4.bag|PredicatedSortedBag|comparator|1
org.apache.commons.collections4.bag|PredicatedSortedBag|decorated|1
org.apache.commons.collections4.bag|PredicatedSortedBag|first|1
org.apache.commons.collections4.bag|PredicatedSortedBag|last|1
org.apache.commons.collections4.bag|SynchronizedBag|synchronizedBag|1
org.apache.commons.collections4.bag|SynchronizedBag|add|1
org.apache.commons.collections4.bag|SynchronizedBag|equals|3
org.apache.commons.collections4.bag|SynchronizedBag|getBag|1
org.apache.commons.collections4.bag|SynchronizedBag|getCount|1
org.apache.commons.collections4.bag|SynchronizedBag|hashCode|1
org.apache.commons.collections4.bag|SynchronizedBag|remove|1
org.apache.commons.collections4.bag|SynchronizedBag|uniqueSet|1
org.apache.commons.collections4.bag|SynchronizedSortedBag|synchronizedSortedBag|1
org.apache.commons.collections4.bag|SynchronizedSortedBag|comparator|1
org.apache.commons.collections4.bag|SynchronizedSortedBag|first|1
org.apache.commons.collections4.bag|SynchronizedSortedBag|getSortedBag|1
org.apache.commons.collections4.bag|SynchronizedSortedBag|last|1
org.apache.commons.collections4.bag|TransformedBag|transformedBag|3
org.apache.commons.collections4.bag|TransformedBag|transformingBag|1
org.apache.commons.collections4.bag|TransformedBag|add|1
org.apache.commons.collections4.bag|TransformedBag|equals|1
org.apache.commons.collections4.bag|TransformedBag|getBag|1
org.apache.commons.collections4.bag|TransformedBag|getCount|1
org.apache.commons.collections4.bag|TransformedBag|hashCode|1
org.apache.commons.collections4.bag|TransformedBag|remove|1
org.apache.commons.collections4.bag|TransformedBag|uniqueSet|1
org.apache.commons.collections4.bag|TransformedSortedBag|transformedSortedBag|3
org.apache.commons.collections4.bag|TransformedSortedBag|transformingSortedBag|1
org.apache.commons.collections4.bag|TransformedSortedBag|comparator|1
org.apache.commons.collections4.bag|TransformedSortedBag|first|1
org.apache.commons.collections4.bag|TransformedSortedBag|getSortedBag|1
org.apache.commons.collections4.bag|TransformedSortedBag|last|1
org.apache.commons.collections4.bag|TreeBag|add|3
org.apache.commons.collections4.bag|TreeBag|comparator|1
org.apache.commons.collections4.bag|TreeBag|first|1
org.apache.commons.collections4.bag|TreeBag|getMap|1
org.apache.commons.collections4.bag|TreeBag|last|1
org.apache.commons.collections4.bag|TreeBag|readObject|1
org.apache.commons.collections4.bag|TreeBag|writeObject|1
org.apache.commons.collections4.bag|UnmodifiableBag|unmodifiableBag|3
org.apache.commons.collections4.bag|UnmodifiableBag|add|1
org.apache.commons.collections4.bag|UnmodifiableBag|add|1
org.apache.commons.collections4.bag|UnmodifiableBag|addAll|1
org.apache.commons.collections4.bag|UnmodifiableBag|clear|1
org.apache.commons.collections4.bag|UnmodifiableBag|iterator|1
org.apache.commons.collections4.bag|UnmodifiableBag|readObject|1
org.apache.commons.collections4.bag|UnmodifiableBag|remove|1
org.apache.commons.collections4.bag|UnmodifiableBag|remove|1
org.apache.commons.collections4.bag|UnmodifiableBag|removeAll|1
org.apache.commons.collections4.bag|UnmodifiableBag|removeIf|1
org.apache.commons.collections4.bag|UnmodifiableBag|retainAll|1
org.apache.commons.collections4.bag|UnmodifiableBag|uniqueSet|1
org.apache.commons.collections4.bag|UnmodifiableBag|writeObject|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|unmodifiableSortedBag|3
org.apache.commons.collections4.bag|UnmodifiableSortedBag|add|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|add|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|addAll|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|clear|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|iterator|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|readObject|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|remove|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|remove|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|removeAll|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|removeIf|1
org.apache.commons.collections4.bag|UnmodifiableSortedBag|retainAll|1
